,Has Device Type,Has Device OS,Has Device OS Version,Includes Catalan,Includes Catalan Predictive Keyboard,Has Vendor,Has Name
Aparell:Kindle Paperwhite 2 — Amazon,Lector de llibres electrònics,Linux Kindle,5.4.3.2,fals,No,Amazon,Kindle Paperwhite 2
Aparell:Kindle Paperwhite — Amazon,Lector de llibres electrònics,Linux Kindle,5.4.4.2,fals,No,Amazon,Kindle Paperwhite
Aparell:Kindle Touch — Amazon,Lector de llibres electrònics,Altre,5.3.7,fals,No,Amazon,Kindle Touch
Aparell:Kindle — Amazon,Lector de llibres electrònics,Linux Kindle,1.2,fals,No s'aplica,Amazon,Kindle
Aparell:LG D605 — LG,Mòbil,Android,4.4.2,verdader,No s'aplica,LG,LG D605
Aparell:LG G2 - LG,Mòbil,Android,,verdader,No,LG,LG G2
Aparell:LG Leon — LG,Mòbil,Android,5.1.1,verdader,Desconegut,LG,LG Leon
Aparell:LG Optimus G - LG,Mòbil,Android,,verdader,No,LG,LG Optimus G
Aparell:LG Optimus L3 II - LG,Mòbil,Android,,verdader,No,LG,LG Optimus L3 II
Aparell:LG Optimus L9 - LG,Mòbil,Android,4.1,verdader,No,LG,LG Optimus L9
Aparell:Liberdrac — Liberdrac,Lector de llibres electrònics,Altre,,verdader,No s'aplica,Liberdrac,Liberdrac
Aparell:Logicom S450 — Logicom,Mòbil,Android,4.2.2,verdader,No,Logicom,Logicom S450
Aparell:Lumia 1320 — Nokia,Mòbil,Windows Mobile,8,verdader,Sí,Nokia,Lumia 1320
Aparell:Lumia 1520 — Nokia,Mòbil,Windows Mobile,8,verdader,Sí,Nokia,Lumia 1520
Aparell:Lumia 530 — Nokia,Mòbil,Windows Mobile,8,verdader,Sí,Nokia,Lumia 530
Aparell:Lumia 535 Dual SIM — Microsoft,Mòbil,Windows Mobile,8,verdader,Sí,Microsoft,Lumia 535 Dual SIM
Aparell:Lumia 535 — Microsoft,Mòbil,Windows Mobile,8,verdader,Sí,Microsoft,Lumia 535
Aparell:Lumia 630 Dual SIM — Nokia,Mòbil,Windows Mobile,8,verdader,Sí,Nokia,Lumia 630 Dual SIM
Aparell:Lumia 635 — Nokia,Mòbil,Windows Mobile,8,verdader,Sí,Nokia,Lumia 635
Aparell:Lumia 640 — Microsoft,Mòbil,Windows Phone,8.1,verdader,Sí,Microsoft,Lumia 640
Aparell:Lumia 735 — Microsoft,Mòbil,Windows Mobile,8,verdader,Sí,Microsoft,Lumia 735
Aparell:Lumia 830 — Microsoft,Mòbil,Windows Mobile,8,verdader,Sí,Microsoft,Lumia 830
Aparell:Lumia 930 — Nokia,Mòbil,Windows Mobile,8,verdader,Sí,Nokia,Lumia 930
Aparell:Magnum 2 Pro — MyWigo,Mòbil,Android,5.1,verdader,Desconegut,MyWigo,Magnum 2 Pro
